area,date,interest,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2019-03-24,0,False,King Koil,own,2019,3,12,1
ZA,2019-03-24,31,False,sealy posturepedic,own,2019,3,12,0
ZA,2019-03-24,0,False,Forgeron,competitor_brand,2019,3,12,1
ZA,2019-03-24,25,False,Restonic,competitor_brand,2019,3,12,0
ZA,2019-03-24,23,False,Cloud 9,competitor_brand,2019,3,12,0
ZA,2019-03-24,51,False,Rest Assured,competitor_brand,2019,3,12,0
ZA,2019-03-24,0,False,Serta,competitor_brand,2019,3,12,1
ZA,2019-03-24,13,False,Simmons,competitor_brand,2019,3,12,0
ZA,2019-03-24,25,False,Tempur,competitor_brand,2019,3,12,0
ZA,2019-03-24,0,False,Dreamland,competitor_brand,2019,3,12,1
ZA,2019-03-24,49,False,Dunlopillo,competitor_brand,2019,3,12,0
ZA,2019-03-24,0,False,Forty Winks,competitor_brand,2019,3,12,1
ZA,2019-03-24,0,False,Sleepmasters,competitor_brand,2019,3,12,1
ZA,2019-03-31,11,False,Sealy,own,2019,3,13,0
ZA,2019-03-31,0,False,Edblo,own,2019,3,13,1
ZA,2019-03-31,0,False,King Koil,own,2019,3,13,1
ZA,2019-03-31,30,False,sealy posturepedic,own,2019,3,13,0
ZA,2019-03-31,0,False,Forgeron,competitor_brand,2019,3,13,1
ZA,2019-03-31,37,False,Restonic,competitor_brand,2019,3,13,0
ZA,2019-03-31,44,False,Cloud 9,competitor_brand,2019,3,13,0
ZA,2019-03-31,25,False,Rest Assured,competitor_brand,2019,3,13,0
ZA,2019-03-31,0,False,Serta,competitor_brand,2019,3,13,1
ZA,2019-03-31,79,False,Simmons,competitor_brand,2019,3,13,0
ZA,2019-03-31,25,False,Tempur,competitor_brand,2019,3,13,0
ZA,2019-03-31,0,False,Dreamland,competitor_brand,2019,3,13,1
ZA,2019-03-31,0,False,Dunlopillo,competitor_brand,2019,3,13,1
ZA,2019-03-31,0,False,Forty Winks,competitor_brand,2019,3,13,1
ZA,2019-03-31,53,False,Sleepmasters,competitor_brand,2019,3,13,0
ZA,2019-04-07,23,False,Sealy,own,2019,4,14,0
ZA,2019-04-07,0,False,Edblo,own,2019,4,14,1
ZA,2019-04-07,0,False,King Koil,own,2019,4,14,1
ZA,2019-04-07,31,False,sealy posturepedic,own,2019,4,14,0
ZA,2019-04-07,0,False,Forgeron,competitor_brand,2019,4,14,1
ZA,2019-04-07,50,False,Restonic,competitor_brand,2019,4,14,0
ZA,2019-04-07,11,False,Cloud 9,competitor_brand,2019,4,14,0
ZA,2019-04-07,0,False,Rest Assured,competitor_brand,2019,4,14,1
ZA,2019-04-07,0,False,Serta,competitor_brand,2019,4,14,1
ZA,2019-04-07,34,False,Simmons,competitor_brand,2019,4,14,0
ZA,2019-04-07,0,False,Tempur,competitor_brand,2019,4,14,1
ZA,2019-04-07,0,False,Dreamland,competitor_brand,2019,4,14,1
ZA,2019-04-07,0,False,Dunlopillo,competitor_brand,2019,4,14,1
ZA,2019-04-07,43,False,Forty Winks,competitor_brand,2019,4,14,0
ZA,2019-04-07,9,False,Sleepmasters,competitor_brand,2019,4,14,0
ZA,2019-04-14,37,False,Sealy,own,2019,4,15,0
ZA,2019-04-14,20,False,Edblo,own,2019,4,15,0
ZA,2019-04-14,0,False,King Koil,own,2019,4,15,1
ZA,2019-04-14,66,False,sealy posturepedic,own,2019,4,15,0
ZA,2019-04-14,0,False,Forgeron,competitor_brand,2019,4,15,1
ZA,2019-04-14,13,False,Restonic,competitor_brand,2019,4,15,0
ZA,2019-04-14,12,False,Cloud 9,competitor_brand,2019,4,15,0
ZA,2019-04-14,0,False,Rest Assured,competitor_brand,2019,4,15,1
ZA,2019-04-14,29,False,Serta,competitor_brand,2019,4,15,0
ZA,2019-04-14,79,False,Simmons,competitor_brand,2019,4,15,0
ZA,2019-04-14,27,False,Tempur,competitor_brand,2019,4,15,0
ZA,2019-04-14,28,False,Dreamland,competitor_brand,2019,4,15,0
ZA,2019-04-14,0,False,Dunlopillo,competitor_brand,2019,4,15,1
ZA,2019-04-14,46,False,Forty Winks,competitor_brand,2019,4,15,0
ZA,2019-04-14,29,False,Sleepmasters,competitor_brand,2019,4,15,0
ZA,2019-04-21,48,False,Sealy,own,2019,4,16,0
ZA,2019-04-21,20,False,Edblo,own,2019,4,16,0
ZA,2019-04-21,0,False,King Koil,own,2019,4,16,1
ZA,2019-04-21,0,False,sealy posturepedic,own,2019,4,16,1
ZA,2019-04-21,0,False,Forgeron,competitor_brand,2019,4,16,1
ZA,2019-04-21,0,False,Restonic,competitor_brand,2019,4,16,1
ZA,2019-04-21,12,False,Cloud 9,competitor_brand,2019,4,16,0
ZA,2019-04-21,27,False,Rest Assured,competitor_brand,2019,4,16,0
ZA,2019-04-21,29,False,Serta,competitor_brand,2019,4,16,0
ZA,2019-04-21,50,False,Simmons,competitor_brand,2019,4,16,0
ZA,2019-04-21,27,False,Tempur,competitor_brand,2019,4,16,0
ZA,2019-04-21,28,False,Dreamland,competitor_brand,2019,4,16,0
ZA,2019-04-21,0,False,Dunlopillo,competitor_brand,2019,4,16,1
ZA,2019-04-21,0,False,Forty Winks,competitor_brand,2019,4,16,1
ZA,2019-04-21,19,False,Sleepmasters,competitor_brand,2019,4,16,0
ZA,2019-04-28,23,False,Sealy,own,2019,4,17,0
ZA,2019-04-28,19,False,Edblo,own,2019,4,17,0
ZA,2019-04-28,0,False,King Koil,own,2019,4,17,1
ZA,2019-04-28,31,False,sealy posturepedic,own,2019,4,17,0
ZA,2019-04-28,0,False,Forgeron,competitor_brand,2019,4,17,1
ZA,2019-04-28,25,False,Restonic,competitor_brand,2019,4,17,0
ZA,2019-04-28,68,False,Cloud 9,competitor_brand,2019,4,17,0
ZA,2019-04-28,51,False,Rest Assured,competitor_brand,2019,4,17,0
ZA,2019-04-28,55,False,Serta,competitor_brand,2019,4,17,0
ZA,2019-04-28,27,False,Simmons,competitor_brand,2019,4,17,0
ZA,2019-04-28,0,False,Tempur,competitor_brand,2019,4,17,1
ZA,2019-04-28,0,False,Dreamland,competitor_brand,2019,4,17,1
ZA,2019-04-28,0,False,Dunlopillo,competitor_brand,2019,4,17,1
ZA,2019-04-28,43,False,Forty Winks,competitor_brand,2019,4,17,0
ZA,2019-04-28,0,False,Sleepmasters,competitor_brand,2019,4,17,1
ZA,2019-05-05,44,False,Sealy,own,2019,5,18,0
ZA,2019-05-05,18,False,Edblo,own,2019,5,18,0
ZA,2019-05-05,0,False,King Koil,own,2019,5,18,1
ZA,2019-05-05,0,False,sealy posturepedic,own,2019,5,18,1
ZA,2019-05-05,0,False,Forgeron,competitor_brand,2019,5,18,1
ZA,2019-05-05,48,False,Restonic,competitor_brand,2019,5,18,0
ZA,2019-05-05,22,False,Cloud 9,competitor_brand,2019,5,18,0
ZA,2019-05-05,0,False,Rest Assured,competitor_brand,2019,5,18,1
ZA,2019-05-05,52,False,Serta,competitor_brand,2019,5,18,0
ZA,2019-05-05,45,False,Simmons,competitor_brand,2019,5,18,0
ZA,2019-05-05,0,False,Tempur,competitor_brand,2019,5,18,1
ZA,2019-05-05,25,False,Dreamland,competitor_brand,2019,5,18,0
ZA,2019-05-05,47,False,Dunlopillo,competitor_brand,2019,5,18,0
ZA,2019-05-05,0,False,Forty Winks,competitor_brand,2019,5,18,1
ZA,2019-05-05,9,False,Sleepmasters,competitor_brand,2019,5,18,0
ZA,2019-05-12,34,False,Sealy,own,2019,5,19,0
ZA,2019-05-12,0,False,Edblo,own,2019,5,19,1
ZA,2019-05-12,0,False,King Koil,own,2019,5,19,1
ZA,2019-05-12,0,False,sealy posturepedic,own,2019,5,19,1
ZA,2019-05-12,0,False,Forgeron,competitor_brand,2019,5,19,1
ZA,2019-05-12,38,False,Restonic,competitor_brand,2019,5,19,0
ZA,2019-05-12,34,False,Cloud 9,competitor_brand,2019,5,19,0
ZA,2019-05-12,0,False,Rest Assured,competitor_brand,2019,5,19,1
ZA,2019-05-12,0,False,Serta,competitor_brand,2019,5,19,1
ZA,2019-05-12,20,False,Simmons,competitor_brand,2019,5,19,0
ZA,2019-05-12,25,False,Tempur,competitor_brand,2019,5,19,0
ZA,2019-05-12,26,False,Dreamland,competitor_brand,2019,5,19,0
ZA,2019-05-12,0,False,Dunlopillo,competitor_brand,2019,5,19,1
ZA,2019-05-12,0,False,Forty Winks,competitor_brand,2019,5,19,1
