area,date,interest,sealy,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2019-02-03,0,37,False,Ashleighs,competitor_brand,2019,2,5,1
ZA,2019-02-03,0,37,False,Forgeron,competitor_brand,2019,2,5,1
ZA,2019-02-03,9,37,False,Restonic,competitor_brand,2019,2,5,0
ZA,2019-02-03,0,37,False,Cloud 9,competitor_brand,2019,2,5,1
ZA,2019-02-03,9,37,False,Cloud Nine,competitor_brand,2019,2,5,0
ZA,2019-02-03,0,37,False,Rest Assured,competitor_brand,2019,2,5,1
ZA,2019-02-03,18,37,False,Serta,competitor_brand,2019,2,5,0
ZA,2019-02-03,0,37,False,Simmons,competitor_brand,2019,2,5,1
ZA,2019-02-03,27,37,False,Tempur,competitor_brand,2019,2,5,0
ZA,2019-02-03,0,37,False,Dreamland,competitor_brand,2019,2,5,1
ZA,2019-02-03,0,37,False,Dunlopillo,competitor_brand,2019,2,5,1
ZA,2019-02-03,0,37,False,Forty Winks,competitor_brand,2019,2,5,1
ZA,2019-02-03,14,28,False,Sleepmasters,competitor_brand,2019,2,5,0
ZA,2019-02-03,52,8,False,mattress,other,2019,2,5,0
ZA,2019-02-03,60,4,False,bed,other,2019,2,5,0
ZA,2019-02-10,28,28,False,Sealy,own,2019,2,6,0
ZA,2019-02-10,0,28,False,Edblo,own,2019,2,6,1
ZA,2019-02-10,0,28,False,King Koil,own,2019,2,6,1
ZA,2019-02-10,0,28,False,King Coil,own,2019,2,6,1
ZA,2019-02-10,0,28,False,Slumber Land,own,2019,2,6,1
ZA,2019-02-10,9,28,False,sealy posturepedic,own,2019,2,6,0
ZA,2019-02-10,0,28,False,Slumberland,own,2019,2,6,1
ZA,2019-02-10,0,28,False,Ashleigh's,competitor_brand,2019,2,6,1
ZA,2019-02-10,0,28,False,Ashleighs,competitor_brand,2019,2,6,1
ZA,2019-02-10,0,28,False,Forgeron,competitor_brand,2019,2,6,1
ZA,2019-02-10,9,28,False,Restonic,competitor_brand,2019,2,6,0
ZA,2019-02-10,0,28,False,Cloud 9,competitor_brand,2019,2,6,1
ZA,2019-02-10,19,28,False,Cloud Nine,competitor_brand,2019,2,6,0
ZA,2019-02-10,0,28,False,Rest Assured,competitor_brand,2019,2,6,1
ZA,2019-02-10,19,28,False,Serta,competitor_brand,2019,2,6,0
ZA,2019-02-10,19,28,False,Simmons,competitor_brand,2019,2,6,0
ZA,2019-02-10,0,28,False,Tempur,competitor_brand,2019,2,6,1
ZA,2019-02-10,0,28,False,Dreamland,competitor_brand,2019,2,6,1
ZA,2019-02-10,0,28,False,Dunlopillo,competitor_brand,2019,2,6,1
ZA,2019-02-10,9,28,False,Forty Winks,competitor_brand,2019,2,6,0
ZA,2019-02-10,7,21,False,Sleepmasters,competitor_brand,2019,2,6,0
ZA,2019-02-10,47,6,False,mattress,other,2019,2,6,0
ZA,2019-02-10,57,3,False,bed,other,2019,2,6,0
ZA,2019-02-17,38,38,False,Sealy,own,2019,2,7,0
ZA,2019-02-17,0,38,False,Edblo,own,2019,2,7,1
ZA,2019-02-17,9,38,False,King Koil,own,2019,2,7,0
ZA,2019-02-17,0,38,False,King Coil,own,2019,2,7,1
ZA,2019-02-17,0,38,False,Slumber Land,own,2019,2,7,1
ZA,2019-02-17,0,38,False,sealy posturepedic,own,2019,2,7,1
ZA,2019-02-17,10,38,False,Slumberland,own,2019,2,7,0
ZA,2019-02-17,0,38,False,Ashleigh's,competitor_brand,2019,2,7,1
ZA,2019-02-17,0,38,False,Ashleighs,competitor_brand,2019,2,7,1
ZA,2019-02-17,0,38,False,Forgeron,competitor_brand,2019,2,7,1
ZA,2019-02-17,28,38,False,Restonic,competitor_brand,2019,2,7,0
ZA,2019-02-17,9,38,False,Cloud 9,competitor_brand,2019,2,7,0
ZA,2019-02-17,0,38,False,Cloud Nine,competitor_brand,2019,2,7,1
ZA,2019-02-17,9,38,False,Rest Assured,competitor_brand,2019,2,7,0
ZA,2019-02-17,0,38,False,Serta,competitor_brand,2019,2,7,1
ZA,2019-02-17,19,38,False,Simmons,competitor_brand,2019,2,7,0
ZA,2019-02-17,0,38,False,Tempur,competitor_brand,2019,2,7,1
ZA,2019-02-17,0,38,False,Dreamland,competitor_brand,2019,2,7,1
ZA,2019-02-17,0,38,False,Dunlopillo,competitor_brand,2019,2,7,1
ZA,2019-02-17,0,38,False,Forty Winks,competitor_brand,2019,2,7,1
ZA,2019-02-17,14,29,False,Sleepmasters,competitor_brand,2019,2,7,0
ZA,2019-02-17,56,8,False,mattress,other,2019,2,7,0
ZA,2019-02-17,48,4,False,bed,other,2019,2,7,0
ZA,2019-02-24,28,28,False,Sealy,own,2019,2,8,0
ZA,2019-02-24,0,28,False,Edblo,own,2019,2,8,1
ZA,2019-02-24,9,28,False,King Koil,own,2019,2,8,0
ZA,2019-02-24,0,28,False,King Coil,own,2019,2,8,1
ZA,2019-02-24,0,28,False,Slumber Land,own,2019,2,8,1
ZA,2019-02-24,0,28,False,sealy posturepedic,own,2019,2,8,1
ZA,2019-02-24,0,28,False,Slumberland,own,2019,2,8,1
ZA,2019-02-24,0,28,False,Ashleigh's,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,28,False,Ashleighs,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,28,False,Forgeron,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,28,False,Restonic,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,28,False,Cloud 9,competitor_brand,2019,2,8,1
ZA,2019-02-24,9,28,False,Cloud Nine,competitor_brand,2019,2,8,0
