area,date,interest,sealy,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2017-02-26,15,38,False,Rest Assured,competitor_brand,2017,2,8,0
ZA,2017-02-26,0,38,False,Serta,competitor_brand,2017,2,8,1
ZA,2017-02-26,0,38,False,Simmons,competitor_brand,2017,2,8,1
ZA,2017-02-26,8,38,False,Tempur,competitor_brand,2017,2,8,0
ZA,2017-02-26,0,38,False,Dreamland,competitor_brand,2017,2,8,1
ZA,2017-02-26,0,38,False,Dunlopillo,competitor_brand,2017,2,8,1
ZA,2017-03-05,0,0,False,Sealy,own,2017,3,9,1
ZA,2017-03-05,0,0,False,Edblo,own,2017,3,9,1
ZA,2017-03-05,0,0,False,King Koil,own,2017,3,9,1
ZA,2017-03-05,0,0,False,King Coil,own,2017,3,9,1
ZA,2017-03-05,0,0,False,Slumber Land,own,2017,3,9,1
ZA,2017-03-05,0,0,False,sealy posturepedic,own,2017,3,9,1
ZA,2017-03-05,0,0,False,Slumberland,own,2017,3,9,1
ZA,2017-03-05,0,31,False,Ashleigh's,competitor_brand,2017,3,9,1
ZA,2017-03-05,0,31,False,Ashleighs,competitor_brand,2017,3,9,1
ZA,2017-03-05,0,31,False,Forgeron,competitor_brand,2017,3,9,1
ZA,2017-03-05,8,31,False,Restonic,competitor_brand,2017,3,9,0
ZA,2017-03-05,8,31,False,Cloud 9,competitor_brand,2017,3,9,0
ZA,2017-03-05,0,31,False,Cloud Nine,competitor_brand,2017,3,9,1
ZA,2017-03-05,0,31,False,Rest Assured,competitor_brand,2017,3,9,1
ZA,2017-03-05,0,31,False,Serta,competitor_brand,2017,3,9,1
ZA,2017-03-05,8,31,False,Simmons,competitor_brand,2017,3,9,0
ZA,2017-03-05,0,31,False,Tempur,competitor_brand,2017,3,9,1
ZA,2017-03-05,0,31,False,Dreamland,competitor_brand,2017,3,9,1
ZA,2017-03-05,0,31,False,Dunlopillo,competitor_brand,2017,3,9,1
ZA,2017-03-12,15,15,False,Sealy,own,2017,3,10,0
ZA,2017-03-12,0,15,False,Edblo,own,2017,3,10,1
ZA,2017-03-12,0,15,False,King Koil,own,2017,3,10,1
ZA,2017-03-12,0,15,False,King Coil,own,2017,3,10,1
ZA,2017-03-12,0,15,False,Slumber Land,own,2017,3,10,1
ZA,2017-03-12,0,15,False,sealy posturepedic,own,2017,3,10,1
ZA,2017-03-12,15,15,False,Slumberland,own,2017,3,10,0
ZA,2017-03-12,0,0,False,Ashleigh's,competitor_brand,2017,3,10,1
ZA,2017-03-12,0,0,False,Ashleighs,competitor_brand,2017,3,10,1
ZA,2017-03-12,0,0,False,Forgeron,competitor_brand,2017,3,10,1
ZA,2017-03-12,16,0,False,Restonic,competitor_brand,2017,3,10,0
ZA,2017-03-12,23,0,False,Cloud 9,competitor_brand,2017,3,10,0
ZA,2017-03-12,8,0,False,Cloud Nine,competitor_brand,2017,3,10,0
ZA,2017-03-12,0,0,False,Rest Assured,competitor_brand,2017,3,10,1
ZA,2017-03-12,0,0,False,Serta,competitor_brand,2017,3,10,1
ZA,2017-03-12,8,0,False,Simmons,competitor_brand,2017,3,10,0
ZA,2017-03-12,8,0,False,Tempur,competitor_brand,2017,3,10,0
ZA,2017-03-12,0,0,False,Dreamland,competitor_brand,2017,3,10,1
ZA,2017-03-12,0,0,False,Dunlopillo,competitor_brand,2017,3,10,1
ZA,2017-03-19,16,16,False,Sealy,own,2017,3,11,0
ZA,2017-03-19,0,16,False,Edblo,own,2017,3,11,1
ZA,2017-03-19,0,16,False,King Koil,own,2017,3,11,1
ZA,2017-03-19,0,16,False,King Coil,own,2017,3,11,1
ZA,2017-03-19,0,16,False,Slumber Land,own,2017,3,11,1
ZA,2017-03-19,8,16,False,sealy posturepedic,own,2017,3,11,0
ZA,2017-03-19,0,16,False,Slumberland,own,2017,3,11,1
ZA,2017-03-19,0,17,False,Ashleigh's,competitor_brand,2017,3,11,1
ZA,2017-03-19,0,17,False,Ashleighs,competitor_brand,2017,3,11,1
ZA,2017-03-19,0,17,False,Forgeron,competitor_brand,2017,3,11,1
ZA,2017-03-19,17,17,False,Restonic,competitor_brand,2017,3,11,0
ZA,2017-03-19,17,17,False,Cloud 9,competitor_brand,2017,3,11,0
ZA,2017-03-19,8,17,False,Cloud Nine,competitor_brand,2017,3,11,0
ZA,2017-03-19,8,17,False,Rest Assured,competitor_brand,2017,3,11,0
ZA,2017-03-19,0,17,False,Serta,competitor_brand,2017,3,11,1
ZA,2017-03-19,8,17,False,Simmons,competitor_brand,2017,3,11,0
ZA,2017-03-19,17,17,False,Tempur,competitor_brand,2017,3,11,0
ZA,2017-03-19,0,17,False,Dreamland,competitor_brand,2017,3,11,1
ZA,2017-03-19,0,17,False,Dunlopillo,competitor_brand,2017,3,11,1
ZA,2017-03-26,23,23,False,Sealy,own,2017,3,12,0
ZA,2017-03-26,0,23,False,Edblo,own,2017,3,12,1
ZA,2017-03-26,0,23,False,King Koil,own,2017,3,12,1
ZA,2017-03-26,0,23,False,King Coil,own,2017,3,12,1
ZA,2017-03-26,0,23,False,Slumber Land,own,2017,3,12,1
ZA,2017-03-26,8,23,False,sealy posturepedic,own,2017,3,12,0
ZA,2017-03-26,8,23,False,Slumberland,own,2017,3,12,0
ZA,2017-03-26,0,24,False,Ashleigh's,competitor_brand,2017,3,12,1
ZA,2017-03-26,0,24,False,Ashleighs,competitor_brand,2017,3,12,1
ZA,2017-03-26,0,24,False,Forgeron,competitor_brand,2017,3,12,1
ZA,2017-03-26,16,24,False,Restonic,competitor_brand,2017,3,12,0
ZA,2017-03-26,8,24,False,Cloud 9,competitor_brand,2017,3,12,0
ZA,2017-03-26,0,24,False,Cloud Nine,competitor_brand,2017,3,12,1
ZA,2017-03-26,0,24,False,Rest Assured,competitor_brand,2017,3,12,1
ZA,2017-03-26,8,24,False,Serta,competitor_brand,2017,3,12,0
ZA,2017-03-26,8,24,False,Simmons,competitor_brand,2017,3,12,0
ZA,2017-03-26,0,24,False,Tempur,competitor_brand,2017,3,12,1
ZA,2017-03-26,0,24,False,Dreamland,competitor_brand,2017,3,12,1
